Class,Gender,Age,Institute,Department,Students ID,Academic year,Nationality,psychological factor,Teachers factor,eco_status of fam,Family size,Family satisfaction,Accomodation,Institutional factor,Father education,Mother education,Father job,Mother job,Location_student,No of absence,Credit hour,CGPA,Grade
Medium,F,23,college of agriculture,Plant science,RAS/002/11,2011,Ethiopian,Medium,>=6,low_middle class,>3,yes,dormatory,always,degree,secodary,civil servant,house wife,urban,Under-7,180,3.01 ,Medium
Low,M,24,college of agriculture,Plant science,RAS/004/05,2005,Ethiopian,Low,<=5,poor,<=3,no,rental,never,primary,primary,farmer,house wife,urban,Under-7,180,2.37 ,Low
Medium,M,25,college of agriculture,Plant science,RAS/006/09,2009,Somalian,Medium,>=6,poor,>3,no,rental,never,primary,high school,farmer,house wife,rural,Above-7,180,2.95 ,Medium
Medium,M,24,college of agriculture,Plant science,RAS/006/07,2007,Ethiopian,Medium,<=5,poor,>3,no,rental,never,primary,primary,daily labour,civil servant,rural,Above-7,180,2.97 ,Medium
Low,F,23,college of agriculture,Plant science,RAS/015/11,2011,Ethiopian,Low,<=5,poor,>3,no,rental,never,primary,primary,daily labour,house wife,rural,Above-7,180,2.43 ,Low
Medium,F,21,college of agriculture,Plant science,RAS/010/09,2009,Ethiopian,Low,>=6,poor,>3,no,dormatory,sometimes,primary,primary,daily labour,house wife,urban,Above-7,180,2.95 ,Medium
Low,F,24,college of agriculture,Plant science,RAS/012/07,2007,Ethiopian,Low,<=5,poor,>3,no,dormatory,sometimes,primary,primary,farmer,daily labour,urban,Above-7,180,2.21 ,Low
Medium,F,24,college of agriculture,Plant science,RAS/178/08,2008,Ethiopian,Medium,<=5,poor,>3,no,rental,never,primary,primary,farmer,daily labour,urban,Under-7,180,2.59 ,Medium
Medium,M,24,college of agriculture,Plant science,RAS/015/07,2007,Ethiopian,Medium,<=5,poor,>3,no,with family,never,primary,primary,farmer,house wife,rural,Under-7,180,2.99 ,Medium
High,M,24,college of agriculture,Plant science,RAS/130/05,2005,Somalian,High,<=5,poor,>3,yes,with family,never,degree,secodary,civil servant,house wife,rural,Under-7,180,3.52 ,High
High,M,24,college of agriculture,Plant science,RAS/017/07,2007,Ethiopian,High,<=5,poor,>3,yes,dormatory,sometimes,degree,secodary,civil servant,house wife,rural,Under-7,180,3.70 ,High
Low,F,20,college of agriculture,Plant science,RAS/187/08,2008,Ethiopian,Medium,<=5,poor,>3,yes,dormatory,sometimes,degree,secodary,merchant,house wife,rural,Under-7,180,2.48 ,Low
Low,M,23,college of agriculture,Plant science,RAS/017/09,2009,Ethiopian,Low,>=6,poor,<=3,no,dormatory,sometimes,degree,secodary,civil servant,daily labour,rural,Above-7,180,2.41 ,Low
Low,M,21,college of agriculture,Plant science,RAS/014/10,2010,Ethiopian,Low,<=5,poor,<=3,no,dormatory,never,primary,secodary,farmer,daily labour,rural,Above-7,180,2.40 ,Low
Medium,M,21,college of agriculture,Plant science,RAS/018/09,2009,Ethiopian,Medium,<=5,low_middle class,>3,yes,dormatory,never,primary,secodary,farmer,daily labour,rural,Above-7,180,2.51 ,Medium
Medium,M,24,college of agriculture,Plant science,RAS/017/10,2010,Ethiopian,Low,>=6,low_middle class,>3,yes,dormatory,sometimes,primary,secodary,farmer,house wife,rural,Under-7,180,2.95 ,Medium
High,M,23,college of agriculture,Plant science,RAS/017/06,2006,Ethiopian,Low,<=5,mid_middle class,>3,yes,dormatory,sometimes,primary,secodary,farmer,house wife,urban,Above-7,180,3.76 ,High
Medium,M,25,college of agriculture,Plant science,RAS/411/08,2008,Ethiopian,Low,<=5,low_middle class,>3,yes,dormatory,sometimes,phd,primary,merchant,civil servant,urban,Above-7,180,3.48 ,Medium
High,F,24,college of agriculture,Plant science,RAS/024/10,2010,Ethiopian,High,<=5,mid_middle class,>3,yes,dormatory,always,degree,secodary,civil servant,house wife,urban,Under-7,180,3.55 ,High
Low,F,20,college of agriculture,Plant science,RAS/019/06,2006,Ethiopian,Medium,<=5,low_middle class,>3,yes,dormatory,never,primary,secodary,farmer,house wife,urban,Under-7,180,2.47 ,Low
High,M,24,college of agriculture,Plant science,RAS/086/08,2008,Ethiopian,High,<=5,mid_middle class,>3,yes,dormatory,never,primary,secodary,daily labour,house wife,rural,Above-7,180,3.54 ,High
Medium,M,24,college of agriculture,Plant science,RAS/049/11,2011,Ethiopian,Medium,<=5,low_middle class,>3,yes,dormatory,never,primary,secodary,daily labour,house wife,rural,Under-7,180,3.15 ,Medium
